가해자차종,시간대,사고건수,사망자수,중상자수,경상자수,부상신고자수
승용차,00시-02시,7694,134,2454,9066,672
승용차,02시-04시,4437,109,1568,4978,407
승용차,04시-06시,4378,135,1716,4552,373
승용차,06시-08시,8247,136,2823,8588,579
승용차,08시-10시,15340,100,4415,16993,1313
승용차,10시-12시,13459,96,4199,15573,1139
승용차,12시-14시,15081,91,4587,17987,1439
승용차,14시-16시,16205,114,4911,19205,1476
승용차,16시-18시,18427,127,5342,21614,1768
승용차,18시-20시,21365,206,6217,23770,1642
승용차,20시-22시,15123,184,4580,17150,1267
승용차,22시-24시,11609,139,3457,13534,1054
승합차,00시-02시,261,6,90,293,38
승합차,02시-04시,126,5,50,151,7
승합차,04시-06시,287,14,151,267,60
승합차,06시-08시,952,27,407,1148,97
승합차,08시-10시,1758,20,686,2092,165
승합차,10시-12시,1440,9,596,1556,190
승합차,12시-14시,1443,14,556,1594,143
승합차,14시-16시,1680,17,613,1861,228
승합차,16시-18시,2094,17,661,2322,221
승합차,18시-20시,2094,29,644,2375,276
승합차,20시-22시,1284,32,422,1355,136
승합차,22시-24시,802,19,291,855,78
화물차,00시-02시,513,37,209,525,57
화물차,02시-04시,359,26,153,314,38
화물차,04시-06시,842,68,381,702,57
화물차,06시-08시,2230,86,863,2258,161
화물차,08시-10시,3728,60,1270,3835,287
화물차,10시-12시,3995,103,1507,4098,280
화물차,12시-14시,3557,74,1304,3915,307
화물차,14시-16시,3944,92,1412,4214,281
화물차,16시-18시,3996,65,1325,4437,300
화물차,18시-20시,3198,95,1134,3396,266
화물차,20시-22시,1566,61,533,1707,106
화물차,22시-24시,860,35,310,954,64
특수차,00시-02시,25,4,18,31,1
특수차,02시-04시,20,1,10,19,0
특수차,04시-06시,41,5,18,29,4
특수차,06시-08시,120,6,38,106,11
특수차,08시-10시,153,6,52,174,16
특수차,10시-12시,169,2,68,184,5
특수차,12시-14시,170,4,55,206,13
특수차,14시-16시,170,5,66,211,15
특수차,16시-18시,130,2,50,151,12
특수차,18시-20시,99,0,42,91,6
특수차,20시-22시,78,2,30,67,8
특수차,22시-24시,48,1,19,58,0
이륜차,00시-02시,785,33,319,564,156
이륜차,02시-04시,494,29,178,357,111
이륜차,04시-06시,424,27,181,279,77
이륜차,06시-08시,652,28,246,408,128
이륜차,08시-10시,1084,45,372,701,217
이륜차,10시-12시,1531,61,468,1122,300
이륜차,12시-14시,2139,36,642,1629,460
이륜차,14시-16시,2013,34,597,1497,432
이륜차,16시-18시,2368,38,739,1860,478
이륜차,18시-20시,3169,39,945,2492,601
이륜차,20시-22시,2289,26,730,1809,448
이륜차,22시-24시,1519,26,500,1256,285
사륜오토바이(ATV),00시-02시,5,0,1,3,1
사륜오토바이(ATV),02시-04시,4,0,0,3,2
사륜오토바이(ATV),04시-06시,6,0,2,7,0
사륜오토바이(ATV),06시-08시,16,1,8,10,0
사륜오토바이(ATV),08시-10시,39,3,19,25,2
사륜오토바이(ATV),10시-12시,51,6,18,34,3
사륜오토바이(ATV),12시-14시,48,6,16,27,6
사륜오토바이(ATV),14시-16시,38,4,10,28,2
사륜오토바이(ATV),16시-18시,57,7,25,28,3
사륜오토바이(ATV),18시-20시,37,8,12,15,4
사륜오토바이(ATV),20시-22시,11,1,3,5,3
사륜오토바이(ATV),22시-24시,6,0,2,0,4
원동기장치자전거,00시-02시,95,4,26,77,19
원동기장치자전거,02시-04시,45,1,21,23,14
원동기장치자전거,04시-06시,43,3,26,15,9
원동기장치자전거,06시-08시,68,0,26,51,10
원동기장치자전거,08시-10시,137,1,39,93,34
원동기장치자전거,10시-12시,160,2,44,103,35
원동기장치자전거,12시-14시,258,3,75,190,44
원동기장치자전거,14시-16시,250,8,79,186,60
원동기장치자전거,16시-18시,283,6,85,193,55
원동기장치자전거,18시-20시,334,4,106,257,53
원동기장치자전거,20시-22시,264,6,83,190,58
원동기장치자전거,22시-24시,176,2,52,134,34
자전거,00시-02시,80,3,19,45,16
자전거,02시-04시,43,1,4,29,9
자전거,04시-06시,122,6,48,53,19
자전거,06시-08시,376,6,140,188,66
자전거,08시-10시,718,14,193,384,178
자전거,10시-12시,597,9,188,316,131
자전거,12시-14시,561,8,141,316,142
자전거,14시-16시,735,10,210,387,179
자전거,16시-18시,913,11,219,538,224
자전거,18시-20시,782,6,207,476,174
자전거,20시-22시,468,3,112,274,127
자전거,22시-24시,238,2,51,147,70
개인형이동수단(PM),00시-02시,23,0,11,8,5
개인형이동수단(PM),02시-04시,14,0,3,7,4
개인형이동수단(PM),04시-06시,12,0,7,4,3
개인형이동수단(PM),06시-08시,29,2,10,13,4
개인형이동수단(PM),08시-10시,56,1,12,30,17
개인형이동수단(PM),10시-12시,40,0,9,24,8
개인형이동수단(PM),12시-14시,31,0,10,18,4
개인형이동수단(PM),14시-16시,44,1,13,24,7
개인형이동수단(PM),16시-18시,53,0,17,37,7
개인형이동수단(PM),18시-20시,59,1,8,39,16
개인형이동수단(PM),20시-22시,47,1,19,22,7
개인형이동수단(PM),22시-24시,39,2,21,21,4
건설기계,00시-02시,10,1,4,10,1
건설기계,02시-04시,12,0,9,19,2
건설기계,04시-06시,49,3,21,41,5
건설기계,06시-08시,253,8,73,235,12
건설기계,08시-10시,531,15,185,553,35
건설기계,10시-12시,486,20,164,573,23
건설기계,12시-14시,399,9,146,449,28
건설기계,14시-16시,406,17,142,462,37
건설기계,16시-18시,308,9,101,317,21
건설기계,18시-20시,67,2,16,80,3
건설기계,20시-22시,11,0,3,13,1
건설기계,22시-24시,10,0,2,15,2
농기계,00시-02시,4,1,1,2,1
농기계,02시-04시,1,0,0,2,0
농기계,04시-06시,4,0,3,3,0
농기계,06시-08시,23,2,10,23,0
농기계,08시-10시,74,4,34,50,6
농기계,10시-12시,68,10,23,40,10
농기계,12시-14시,55,10,18,27,6
농기계,14시-16시,76,11,31,44,7
농기계,16시-18시,87,10,42,61,7
농기계,18시-20시,45,8,11,31,9
농기계,20시-22시,6,1,4,4,0
농기계,22시-24시,1,0,0,0,1
기타,00시-02시,3,0,1,1,1
기타,02시-04시,10,0,4,8,0
기타,04시-06시,6,1,1,3,1
기타,06시-08시,8,1,4,2,1
기타,08시-10시,27,0,5,15,7
기타,10시-12시,27,0,6,19,4
기타,12시-14시,27,0,11,23,4
기타,14시-16시,21,0,5,13,4
기타,16시-18시,31,0,8,21,5
기타,18시-20시,19,0,6,9,4
기타,20시-22시,12,0,6,7,2
기타,22시-24시,12,0,2,11,2
불명,00시-02시,210,0,22,154,50
불명,02시-04시,138,0,11,119,34
불명,04시-06시,145,0,23,103,41
불명,06시-08시,204,0,34,135,46
불명,08시-10시,326,0,49,217,81
불명,10시-12시,248,0,34,168,70
불명,12시-14시,275,0,39,192,73
불명,14시-16시,328,0,49,210,92
불명,16시-18시,412,0,55,274,116
불명,18시-20시,655,1,94,472,170
불명,20시-22시,508,0,79,381,120
불명,22시-24시,387,0,45,281,105
