시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,190,0,65,188,23
서울,중구,213,1,63,199,22
서울,용산구,184,6,42,193,14
서울,성동구,156,2,46,156,4
서울,동대문구,288,3,92,246,26
서울,성북구,216,2,51,214,14
서울,도봉구,118,0,38,112,15
서울,은평구,230,2,74,180,36
서울,서대문구,187,5,45,132,47
서울,마포구,198,1,56,197,26
서울,강서구,244,3,74,212,30
서울,구로구,217,3,59,220,16
서울,영등포구,350,1,98,331,46
서울,동작구,214,1,62,200,32
서울,관악구,208,1,62,177,20
서울,강남구,457,2,99,459,55
서울,강동구,201,2,57,182,33
서울,송파구,428,3,115,370,92
서울,서초구,368,2,95,400,33
서울,양천구,234,1,52,255,25
서울,중랑구,234,4,65,217,28
서울,노원구,287,1,75,268,30
서울,광진구,146,0,40,144,8
서울,강북구,193,1,59,190,8
서울,금천구,125,2,47,119,6
부산,중구,65,0,26,55,6
부산,서구,72,0,28,74,10
부산,동구,89,1,33,90,6
부산,영도구,52,0,19,50,3
부산,부산진구,238,5,88,225,26
부산,동래구,187,0,59,188,13
부산,남구,138,1,42,126,15
부산,북구,96,2,37,85,16
부산,해운대구,143,5,50,120,19
부산,사하구,156,5,52,142,13
부산,금정구,127,1,44,112,15
부산,강서구,91,1,39,78,3
부산,연제구,121,0,35,119,12
부산,수영구,100,1,31,89,11
부산,사상구,148,3,35,122,34
부산,기장군,71,3,28,85,6
경기,수원시,498,6,121,510,71
경기,성남시,498,1,131,555,78
경기,의정부시,187,1,57,192,50
경기,안양시,189,3,48,184,10
경기,부천시,423,9,116,391,37
경기,안산시,332,3,79,383,21
경기,평택시,358,10,116,364,65
경기,광명시,136,1,40,97,41
경기,구리시,101,0,21,120,14
경기,양주시,169,4,43,186,14
경기,여주시,102,3,37,125,8
경기,화성시,299,3,84,390,37
경기,시흥시,221,3,58,272,21
경기,파주시,211,2,67,221,25
경기,고양시,469,7,159,511,70
경기,광주시,208,5,45,256,36
경기,연천군,47,1,23,34,2
경기,포천시,153,4,66,137,25
